PROMOCODE,SKU,POINTS,START DATE,END DATE
LoyaltyJanuaryPromo,130139,50,1/1/2013,1/31/2013
LoyaltyJanuaryPromo,110422,20,1/1/2013,1/31/2013
LoyaltyFebruaryPromo,100314,20,2/1/2013,2/28/2013
LoyaltyFebruaryPromo,130330,50,2/1/2013,2/28/2013
LoyaltyMarchPromo,312202,50,3/1/2013,3/31/2013
LoyaltyMarchPromo,100806,50,3/1/2013,3/31/2013
JantoMarch,904020,260,1/1/2013,3/31/2013
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
